위반일시,위반법조항,위반장소
202501051743,제13조3항,경상북도 포항시 북구 두호동 989-5
202501181154,제17조3항,남해고속도로 54.6k (부산→순천)
202412300816,제25조2항,경상북도 포항시 북구 학산동 337
202501301146,제17조3항,포항시 북구 중흥로255번길(죽도동) 남부초등학교 앞(전화국사거리 방면)
202501231703,제17조3항,포항시 북구 죽장면 새마을로(입암리) 죽장초등학교(일광리 방면)
202501310901,제25조2항,경상북도 포항시 남구 오천읍 문덕리 산 184-2 황실타이어 사거리
202502112013,제25조1항,경상북도 포항시 남구 해도동 236 형산교차로
202503031445,제17조3항,"수성구 이천동 21-2, 달구벌대로 담티고개 부근(만촌→연호 방향)"
202504121330,제17조3항,대구 북구 호국로 (서변동 산 94-9)  대구외곽순환도로 서변IC 이정표2(국우터널→도곡네거리)
202505011424,제48조제1항,경상북도 울릉군 울릉순환로 229 울릉고등학교 정문
202505151449,제48조제1항,경상북도 울릉군 도동2길 62 울릉경찰서
202504032158,제17조3항,"도봉구 삼양로 561 백운초교 건너편:스쿨존(우이동, 솔밭공원역→4.19민주묘지역)"
202506121754,제37조,동해고속도로 근덕방면 강릉5터널 (주간에도 터널에서는 라이트를 켜야합니다)
202506260948,제54조1항,경상북도 울릉군 울릉순환로 219-3 위드게스트하우스 앞 노상
202506301356,제17조3항,"신천대로 (달서교 -> 새방지하차도 방향), 상리동 산 108-3"
202507231350,제50조3항,"대구 달서구 진천로16길 91(진천동) 진천월성위너파크@ 앞(월배초교보호구역, 월배역더샵@→라온센텀@)"
202508180725,제54조1항,경상북도 울릉군 울릉순환로 397-8
202509080746,제54조1항,경상북도 울릉군 도동길 14 여객선터미널 주차장
202510131542,제73조2항,경상북도 울릉군 도동2길 62
202509201210,제48조제1항,경상북도 울릉군 서면 남양리 산 70-1
202507201340,제48조제1항,경상북도 울릉군 울릉순환로 606
202508231144,제13조3항,경상북도 울릉군 울릉순환로 772
202506161355,제48조제1항,경상북도 울릉군 울릉순환로 212-4
