sms_msg,sms_resDate,category,status
울릉크루즈(주) 뉴씨다오펄호 테스트 메세지입니다.,2021.9.17 10:58,사람,미정
울릉크루즈-뉴시다오펄호가 여객선운항정보에 추가되었습니다. 알림을 받기원하시는 주민여러분께서는 울릉알리미앱내 환경설정에서 해당항목을 체크하시고 설정값 저장 버튼을 눌러주시기 바랍니다.,2021.9.17 15:01,사람,미정
"울릉크루즈(주)의 뉴시다오펄호 예약, 예매 관련 문의 : 국번없이 1533-3370",2021.9.25 9:31,사람,미정
"[울릉크루즈]금일(26/일)11:00울릉사동항,23:00영일만항 정상출항예정. 예약1533-3370",2021.9.26 9:00,사람,출항
[울릉군재난안전대책본부] 울릉→포항행 뉴시다오펄호 5F 선내식당(울릉크루즈)을 10.6.(수) 12:30~13:30 / 16:00~17:00 시간대에 이용하신 분은 가까운 선별진료소에서 검사받으시기 바랍니다.,2021.10.13 16:08,사람,미정
(울릉크루즈 휴항안내) 선박의 입거검사로 인하여 3.14(월)~3.24(목)까지 휴항하오니 이용에 참고하시기 바랍니다.,2022.3.3 10:36,사람,운항불가
7월8월달 주민인터넷 예매는 지금 대저해운 홈페이지에서 모두 가능합니다.,2022.7.18 9:08,선박,미정
자세한 내용은 울릉크루즈 홈페이지 공지사항 참조부탁드립니다. ulcruise.co.kr,2022.10.26 14:33,사람,미정
자세한 내용은 울릉크루즈 홈페이지 공지사항 참조부탁드립니다. ulcruise.co.kr,2022.10.31 14:45,사람,미정
여객선차량 운임보조금 지원중단에 따른 울릉크루즈 섬주민차량 지원할인 시행 ~12/31,2022.10.31 17:56,사람,미정
여객선차량 운임보조금 지원중단에 따른 울릉크루즈 섬주민차량 지원할인 시행 ~12/31,2022.11.1 18:02,사람,미정
여객선차량 운임보조금 지원중단에 따른 울릉크루즈 섬주민차량 지원할인 시행 ~12/31,2022.11.3 16:57,사람,미정
여객선차량 운임보조금 지원중단에 따른 울릉크루즈 섬주민차량 지원할인 시행 ~12/31,2022.11.5 17:04,사람,미정
여객선차량 운임보조금 지원중단에 따른 울릉크루즈 섬주민차량 지원할인 시행 ~12/31,2022.11.10 11:23,사람,미정
여객선차량 운임보조금 지원중단에 따른 울릉크루즈 섬주민차량 지원할인 시행 ~12/31,2022.11.14 17:44,사람,미정
금일 결항 관련 자세한 내용은 울릉크루즈 홈페이지 참고 바랍니다.,2023.1.31 11:47,사람,운항불가
[일일택배시행]?장소:사동항 울릉크루즈 화물취급소옆 건영택배 ?시간:0800~11:00(익일배송가능),2023.2.7 15:18,사람,미정
**일일택배를 시행하고 있습니다** ?장소: 사동항 울릉크루즈 화물취급소 옆 건영택배 ?시간: 08:00~11:00(익일 소비자에게 배송가능),2023.2.9 16:42,선박,미정
