정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
TSB373000001,울릉군도동정류소,37.483149,130.9076168,2025-10-31,3730001.0,37430,경상북도 울릉군,TSBIS
TSB373000002,울릉군도동정류소,37.483048,130.9075679,2025-10-31,3730002.0,37430,경상북도 울릉군,TSBIS
TSB373000003,보건의료원,37.485439,130.899681,2025-10-31,3730003.0,37430,경상북도 울릉군,TSBIS
TSB373000004,보건의료원,37.485265,130.8996292,2025-10-31,3730004.0,37430,경상북도 울릉군,TSBIS
TSB373000005,사동해수풀장,37.475255,130.8941168,2025-10-31,3730005.0,37430,경상북도 울릉군,TSBIS
TSB373000006,사동해수풀장,37.475251,130.8942511,2025-10-31,3730006.0,37430,경상북도 울릉군,TSBIS
TSB373000007,구장흥초등,37.473445,130.8889519,2025-10-31,3730007.0,37430,경상북도 울릉군,TSBIS
TSB373000008,구장흥초등,37.473292,130.8889688,2025-10-31,3730008.0,37430,경상북도 울릉군,TSBIS
TSB373000009,통구미,37.461089,130.8567892,2025-10-31,3730009.0,37430,경상북도 울릉군,TSBIS
TSB373000010,통구미,37.460998,130.85672,2025-10-31,3730010.0,37430,경상북도 울릉군,TSBIS
TSB373000011,남양,37.466438,130.837356,2025-10-31,3730011.0,37430,경상북도 울릉군,TSBIS
TSB373000012,남양,37.466336,130.8372761,2025-10-31,3730012.0,37430,경상북도 울릉군,TSBIS
TSB373000013,구암,37.477334,130.809218,2025-10-31,3730013.0,37430,경상북도 울릉군,TSBIS
TSB373000014,구암,37.477343,130.809083,2025-10-31,3730014.0,37430,경상북도 울릉군,TSBIS
TSB373000015,학포,37.501497,130.8086669,2025-10-31,3730015.0,37430,경상북도 울릉군,TSBIS
TSB373000016,학포,37.501474,130.808534,2025-10-31,3730016.0,37430,경상북도 울릉군,TSBIS
TSB373000017,성하신당,37.512295,130.80128,2025-10-31,3730017.0,37430,경상북도 울릉군,TSBIS
TSB373000018,성하신당,37.512198,130.801334,2025-10-31,3730018.0,37430,경상북도 울릉군,TSBIS
TSB373000019,현포,37.526151,130.8256139,2025-10-31,3730019.0,37430,경상북도 울릉군,TSBIS
TSB373000020,현포,37.526265,130.825607,2025-10-31,3730020.0,37430,경상북도 울릉군,TSBIS
TSB373000021,평리,37.534325,130.8428341,2025-10-31,3730021.0,37430,경상북도 울릉군,TSBIS
TSB373000022,평리,37.534433,130.842788,2025-10-31,3730022.0,37430,경상북도 울릉군,TSBIS
TSB373000023,천부정류장,37.541135,130.873253,2025-10-31,3730023.0,37430,경상북도 울릉군,TSBIS
TSB373000024,천부정류장,37.541172,130.8731249,2025-10-31,3730024.0,37430,경상북도 울릉군,TSBIS
TSB373000025,나리 삼거리,37.520239,130.8703882,2025-10-31,3730025.0,37430,경상북도 울릉군,TSBIS
TSB373000026,나리,37.518512,130.8715679,2025-10-31,3730026.0,37430,경상북도 울릉군,TSBIS
TSB373000027,간령,37.463615,130.877244,2025-10-31,3730027.0,37430,경상북도 울릉군,TSBIS
TSB373000028,간령,37.463664,130.877118,2025-10-31,3730028.0,37430,경상북도 울릉군,TSBIS
TSB373000029,울릉고등학교,37.492747,130.9075042,2025-10-31,3730029.0,37430,경상북도 울릉군,TSBIS
TSB373000030,울릉고등학교,37.492687,130.9076179,2025-10-31,3730030.0,37430,경상북도 울릉군,TSBIS
TSB373000031,저동,37.492329,130.9098881,2025-10-31,3730031.0,37430,경상북도 울릉군,TSBIS
TSB373000032,저동,37.492173,130.9100659,2025-10-31,3730032.0,37430,경상북도 울릉군,TSBIS
TSB373000033,봉래폭포,37.496539,130.89263,2025-10-31,3730033.0,37430,경상북도 울릉군,TSBIS
TSB373000034,동광교회,37.494388,130.9071892,2025-10-31,3730034.0,37430,경상북도 울릉군,TSBIS
TSB373000035,동광교회,37.494293,130.9071791,2025-10-31,3730035.0,37430,경상북도 울릉군,TSBIS
TSB373000036,저동여객터미널,37.496245,130.9097812,2025-10-31,3730036.0,37430,경상북도 울릉군,TSBIS
TSB373000037,신용슈퍼앞,37.499513,130.9122551,2025-10-31,3730037.0,37430,경상북도 울릉군,TSBIS
TSB373000038,신용슈퍼앞,37.499488,130.912393,2025-10-31,3730038.0,37430,경상북도 울릉군,TSBIS
TSB373000039,내수전,37.505158,130.9135658,2025-10-31,3730039.0,37430,경상북도 울릉군,TSBIS
TSB373000040,내수전,37.504523,130.913658,2025-10-31,3730040.0,37430,경상북도 울릉군,TSBIS
TSB373000041,선창,37.54551,130.9087778,2025-10-31,3730041.0,37430,경상북도 울릉군,TSBIS
TSB373000042,선창,37.545545,130.908694,2025-10-31,3730042.0,37430,경상북도 울릉군,TSBIS
TSB373000043,독도의용수비대기념관,37.537414,130.906697,2025-10-31,3730043.0,37430,경상북도 울릉군,TSBIS
TSB373000044,안용복기념관,37.5353,130.9069822,2025-10-31,3730044.0,37430,경상북도 울릉군,TSBIS
TSB373000045,태하삼거리,37.512169,130.809983,2025-10-31,3730045.0,37430,경상북도 울릉군,TSBIS
TSB373000046,공설운동장,37.509227,130.814114,2025-10-31,3730046.0,37430,경상북도 울릉군,TSBIS
TSB373000047,추산,37.535404,130.8612539,2025-10-31,3730047.0,37430,경상북도 울릉군,TSBIS
TSB373000048,추산,37.535497,130.8611819,2025-10-31,3730048.0,37430,경상북도 울릉군,TSBIS
TSB373000049,한마음회관,37.490504,130.90513,2025-10-31,3730049.0,37430,경상북도 울릉군,TSBIS
