raw,detail,clean_normalized,latitude,longitude,type
경상북도 울릉군 울릉순환로 550 경상북도 울릉군 울릉순환로 550 할매식당앞 도로상,할매식당앞 도로상,경상북도 울릉군 울릉순환로 550,37.4652336,130.8394194,차대차
경상북도 울릉군 울릉순환로 550 경상북도 울릉군 울릉순환로 550 할매식당앞 도로상,할매식당앞 도로상,경상북도 울릉군 울릉순환로 550,37.4652336,130.8394194,차대차
경상북도 울릉군 도동3길 15 경상북도 울릉군 도동3길 15 신흥꽃집 앞 노상,신흥꽃집 앞 노상,경상북도 울릉군 도동3길 15,37.4840491,130.9050836,차량단독
경상북도 울릉군 울릉순환로 212-22 수협 어판장 주차장,수협 어판장 주차장,경상북도 울릉군 울릉순환로 212-22,37.5217669,130.9095328,차량단독
경상북도 울릉군 울릉순환로 212-22 수협 어판장 주차장,수협 어판장 주차장,경상북도 울릉군 울릉순환로 212-22,37.5217669,130.9095328,차량단독
경상북도 울릉군 울릉순환로 147 경상북도 울릉군 울릉순환로 147 울릉회타운 주차장,울릉회타운 주차장,경상북도 울릉군 울릉순환로 147,37.5217669,130.9095328,차량단독
경상북도 울릉군 울릉순환로 147 경상북도 울릉군 울릉순환로 147 울릉회타운 주차장,울릉회타운 주차장,경상북도 울릉군 울릉순환로 147,37.5217669,130.9095328,차량단독
경북 울릉 북면 현포 296- 2번지 예림원 입구 옆 일주도로상,경북 울릉 북면 현포 296- 2번지 예림원 입구 옆 일주도로상,,,,차량단독
경상북도 울릉군 울릉순환로 3140 경상북도 울릉군 울릉순환로 3140 북면 주민자치센터 앞,북면 주민자치센터 앞,경상북도 울릉군 울릉순환로 3140,37.4652336,130.8394194,차량단독
경상북도 울릉군 도동길 79 태양상회 앞,태양상회 앞,경상북도 울릉군 도동길 79,37.4840452,130.9044753,차대차
경상북도 울릉군 도동길 79 태양상회 앞,태양상회 앞,경상북도 울릉군 도동길 79,37.4840452,130.9044753,차대차
경상북도 울릉군 남양5길 4 손순화씨 가,손순화씨 가,경상북도 울릉군 남양5길 4,37.4694684,130.8365712,차량단독
경상북도 울릉군 봉래2길 21 황제모텔앞 황제모텔 앞 노상,황제모텔앞 황제모텔 앞 노상,경상북도 울릉군 봉래2길 21,37.4933628,130.9091045,차대차
경상북도 울릉군 봉래2길 21 황제모텔앞 황제모텔 앞 노상,황제모텔앞 황제모텔 앞 노상,경상북도 울릉군 봉래2길 21,37.4933628,130.9091045,차대차
경북 울릉 북면 천부 산0002-0013번지 해태바위 앞 일주도로(선창마을 입구에서 ?,경북 울릉 북면 천부 산0002-0013번지 해태바위 앞 일주도로(선창마을 입구에서 ?,,,,차량단독
경상북도 울릉군 울릉순환로 147 오징어회타운앞 주차장,오징어회타운앞 주차장,경상북도 울릉군 울릉순환로 147,37.5217669,130.9095328,차대차
경상북도 울릉군 울릉순환로 147 오징어회타운앞 주차장,오징어회타운앞 주차장,경상북도 울릉군 울릉순환로 147,37.5217669,130.9095328,차대차
경상북도 울릉군 울릉순환로 130 경상북도 울릉군 울릉순환로 130 계단,계단,경상북도 울릉군 울릉순환로 130,37.4652336,130.8394194,차량단독
경상북도 울릉군 울릉순환로 171 저동 여객선 터미널옆 주차장,저동 여객선 터미널옆 주차장,경상북도 울릉군 울릉순환로 171,37.4652336,130.8394194,차량단독
경상북도 울릉군 울릉순환로 171 저동 여객선 터미널옆 주차장,저동 여객선 터미널옆 주차장,경상북도 울릉군 울릉순환로 171,37.4652336,130.8394194,차량단독
경상북도 울릉군 도동길 126 힐스테이모텔앞 도로상,힐스테이모텔앞 도로상,경상북도 울릉군 도동길 126,37.4840452,130.9044753,차대차
경상북도 울릉군 도동길 126 힐스테이모텔앞 도로상,힐스테이모텔앞 도로상,경상북도 울릉군 도동길 126,37.4840452,130.9044753,차대차
경북 울릉 서면 남서 0107-0002번지 남서침례교회앞도로,경북 울릉 서면 남서 0107-0002번지 남서침례교회앞도로,,,,차대차
경북 울릉 서면 남서 0107-0002번지 남서침례교회앞도로,경북 울릉 서면 남서 0107-0002번지 남서침례교회앞도로,,,,차대차
경북 울릉 서면 남서 0107-0002번지 남서침례교회앞도로,경북 울릉 서면 남서 0107-0002번지 남서침례교회앞도로,,,,차대차
경상북도 울릉군 봉래2길 32-22 369식당 앞,369식당 앞,경상북도 울릉군 봉래2길 32-22,37.4933628,130.9091045,차량단독
경상북도 울릉군 봉래2길 32-22 369식당 앞,369식당 앞,경상북도 울릉군 봉래2길 32-22,37.4933628,130.9091045,차량단독
경상북도 울릉군 천부3길 8 대가야반점 앞,대가야반점 앞,경상북도 울릉군 천부3길 8,37.5391263,130.8774686,차대차
경상북도 울릉군 천부3길 8 대가야반점 앞,대가야반점 앞,경상북도 울릉군 천부3길 8,37.5391263,130.8774686,차대차
