날짜,지점,강수량(mm),,,,,,,,,,,0
2018.1.1,115,0,,,,,,,,,,,
2018.1.2,115,0,,,,,,,,,,,
2018.1.3,115,3.8,,,,,,,,,,,
2018.1.4,115,5,,,,,,,,,,,
2018.1.5,115,1.9,,,,,,,,,,,
2018.1.6,115,1.9,,,,,,,,,,,
2018.1.7,115,,,,,,,,,,,,
2018.1.8,115,3.7,,,,,,,,,,,
2018.1.9,115,0.3,,,,,,,,,,,
2018.1.10,115,1,,,,,,,,,,,
2018.1.11,115,8.2,,,,,,,,,,,
2018.1.12,115,5.2,,,,,,,,,,,
2018.1.13,115,6.5,,,,,,,,,,,
2018.1.14,115,,,,,,,,,,,,
2018.1.15,115,,,,,,,,,,,,
2018.1.16,115,3.6,,,,,,,,,,,
2018.1.17,115,8.4,,,,,,,,,,,
2018.1.18,115,,,,,,,,,,,,
2018.1.19,115,,,,,,,,,,,,
2018.1.20,115,,,,,,,,,,,,
2018.1.21,115,,,,,,,,,,,,
2018.1.22,115,1.5,,,,,,,,,,,
2018.1.23,115,1.8,,,,,,,,,,,
2018.1.24,115,8.4,,,,,,,,,,,
2018.1.25,115,7.4,,,,,,,,,,,
2018.1.26,115,12.1,,,,,,,,,,,
2018.1.27,115,0.4,,,,,,,,,,,
2018.1.28,115,0,,,,,,,,,,,
2018.1.29,115,2.9,,,,,,,,,,,
2018.1.30,115,0.4,,,,,,,,,,,
2018.1.31,115,1.5,,,,,,,,,,,
2018.2.1,115,0,,,,,,,,,,,
2018.2.2,115,0.2,,,,,,,,,,,
2018.2.3,115,5.2,,,,,,,,,,,
2018.2.4,115,27.2,,,,,,,,,,,
2018.2.5,115,3.3,,,,,,,,,,,
2018.2.6,115,26.3,,,,,,,,,,,
2018.2.7,115,35.5,,,,,,,,,,,
2018.2.8,115,,,,,,,,,,,,
2018.2.9,115,,,,,,,,,,,,
2018.2.10,115,,,,,,,,,,,,
2018.2.11,115,0,,,,,,,,,,,
2018.2.12,115,0.1,,,,,,,,,,,
2018.2.13,115,0.5,,,,,,,,,,,
2018.2.14,115,0,,,,,,,,,,,
2018.2.15,115,0,,,,,,,,,,,
2018.2.16,115,,,,,,,,,,,,
2018.2.17,115,0,,,,,,,,,,,
2018.2.18,115,,,,,,,,,,,,
2018.2.19,115,,,,,,,,,,,,
2018.2.20,115,,,,,,,,,,,,
2018.2.21,115,3.3,,,,,,,,,,,
2018.2.22,115,0,,,,,,,,,,,
2018.2.23,115,,,,,,,,,,,,
2018.2.24,115,0.5,,,,,,,,,,,
2018.2.25,115,0.8,,,,,,,,,,,
2018.2.26,115,0.3,,,,,,,,,,,
2018.2.27,115,,,,,,,,,,,,
2018.2.28,115,25.4,,,,,,,,,,,
2018.3.1,115,28.2,,,,,,,,,,,
2018.3.2,115,0,,,,,,,,,,,
2018.3.3,115,,,,,,,,,,,,
2018.3.4,115,2.9,,,,,,,,,,,
2018.3.5,115,20.4,,,,,,,,,,,
2018.3.6,115,0,,,,,,,,,,,
2018.3.7,115,0.4,,,,,,,,,,,
2018.3.8,115,46.6,,,,,,,,,,,
2018.3.9,115,0,,,,,,,,,,,
2018.3.10,115,,,,,,,,,,,,
2018.3.11,115,,,,,,,,,,,,
2018.3.12,115,,,,,,,,,,,,
2018.3.13,115,,,,,,,,,,,,
2018.3.14,115,,,,,,,,,,,,
2018.3.15,115,18.6,,,,,,,,,,,
2018.3.16,115,0,,,,,,,,,,,
2018.3.17,115,,,,,,,,,,,,
2018.3.18,115,0.6,,,,,,,,,,,
2018.3.19,115,18.6,,,,,,,,,,,
2018.3.20,115,,,,,,,,,,,,
2018.3.21,115,5,,,,,,,,,,,
2018.3.22,115,,,,,,,,,,,,
2018.3.23,115,,,,,,,,,,,,
2018.3.24,115,,,,,,,,,,,,
2018.3.25,115,,,,,,,,,,,,
2018.3.26,115,,,,,,,,,,,,
2018.3.27,115,,,,,,,,,,,,
2018.3.28,115,,,,,,,,,,,,
2018.3.29,115,,,,,,,,,,,,
2018.3.30,115,,,,,,,,,,,,
2018.3.31,115,,,,,,,,,,,,
2018.4.1,115,,,,,,,,,,,,
2018.4.2,115,,,,,,,,,,,,
2018.4.3,115,,,,,,,,,,,,
2018.4.4,115,2.6,,,,,,,,,,,
2018.4.5,115,18,,,,,,,,,,,
2018.4.6,115,36.3,,,,,,,,,,,
2018.4.7,115,17,,,,,,,,,,,
2018.4.8,115,0,,,,,,,,,,,
2018.4.9,115,0,,,,,,,,,,,
2018.4.10,115,,,,,,,,,,,,
2018.4.11,115,0,,,,,,,,,,,
2018.4.12,115,,,,,,,,,,,,
2018.4.13,115,,,,,,,,,,,,
2018.4.14,115,32.1,,,,,,,,,,,
2018.4.15,115,,,,,,,,,,,,
2018.4.16,115,0,,,,,,,,,,,
2018.4.17,115,,,,,,,,,,,,
2018.4.18,115,,,,,,,,,,,,
2018.4.19,115,,,,,,,,,,,,
2018.4.20,115,,,,,,,,,,,,
2018.4.21,115,,,,,,,,,,,,
2018.4.22,115,0.2,,,,,,,,,,,
2018.4.23,115,15.9,,,,,,,,,,,
2018.4.24,115,27.9,,,,,,,,,,,
2018.4.25,115,,,,,,,,,,,,
2018.4.26,115,,,,,,,,,,,,
2018.4.27,115,,,,,,,,,,,,
2018.4.28,115,,,,,,,,,,,,
2018.4.29,115,,,,,,,,,,,,
2018.4.30,115,,,,,,,,,,,,
2018.5.1,115,,,,,,,,,,,,
2018.5.2,115,13.6,,,,,,,,,,,
2018.5.3,115,0.3,,,,,,,,,,,
