출항일,대인,중고,경로,소아,편승,합계,유아,임시
2021.9.30,127,0,15,6,29,177,0,0
2021.10.1,105,1,10,7,10,133,0,0
2021.10.2,161,0,19,7,29,216,0,0
2021.10.3,301,1,8,8,39,357,0,0
2021.10.4,754,15,59,47,26,901,0,0
2021.10.5,673,0,65,19,25,782,1,0
2021.10.6,831,1,120,11,26,989,0,0
2021.10.7,278,0,22,11,19,330,0,0
2021.10.8,306,0,18,5,29,358,1,0
2021.10.9,313,0,15,10,19,357,0,0
2021.10.10,403,2,33,13,16,467,1,0
2021.10.11,"1,049",20,48,38,19,"1,174",2,0
2021.10.12,664,7,83,18,18,790,0,0
2021.10.13,298,3,24,2,19,346,0,0
2021.10.14,259,0,22,12,28,321,0,0
2021.10.15,374,0,48,12,16,450,0,0
2021.10.16,920,5,71,22,23,"1,041",0,0
2021.10.17,970,3,45,13,18,"1,049",0,0
2021.10.18,365,1,41,9,15,431,0,0
2021.10.19,358,1,36,7,14,416,1,0
2021.10.20,0,0,0,0,0,0,0,0
2021.10.21,714,3,78,15,20,830,1,0
2021.10.22,486,1,63,19,14,583,1,0
2021.10.23,414,2,64,8,11,499,1,0
2021.10.24,780,3,50,13,56,902,0,0
2021.10.25,346,2,42,12,18,420,0,0
2021.10.26,297,3,39,10,47,396,0,0
2021.10.27,347,1,36,8,15,407,0,0
2021.10.28,298,1,28,8,51,386,1,0
2021.10.29,419,2,20,7,33,481,1,0
2021.10.30,362,0,18,6,21,407,1,0
2021.10.31,875,6,62,17,26,986,0,0
2021.11.1,308,1,48,5,10,372,0,0
2021.11.2,634,1,59,9,19,722,0,0
2021.11.3,270,1,34,3,12,320,0,0
2021.11.4,428,0,37,5,12,482,0,0
2021.11.5,269,0,24,4,85,382,0,0
2021.11.6,416,1,24,10,21,472,1,0
2021.11.7,"1,064",13,46,24,49,"1,196",1,0
2021.11.9,991,9,92,20,14,"1,126",0,0
2021.11.10,299,1,14,4,12,330,0,0
2021.11.11,0,0,0,0,0,0,0,0
2021.11.12,781,4,37,13,10,845,1,0
2021.11.13,369,0,26,14,9,418,1,0
2021.11.14,"1,012",4,34,11,23,"1,084",0,0
2021.11.15,451,23,27,13,16,530,1,0
2021.11.16,296,3,27,10,13,349,0,0
2021.11.17,419,2,30,10,11,472,0,0
2021.11.18,517,0,34,5,14,570,0,0
2021.11.19,354,0,24,6,14,398,1,0
2021.11.20,462,1,27,17,12,519,1,0
2021.11.21,"1,071",2,10,18,21,"1,122",2,0
2021.11.22,500,0,36,2,12,550,0,0
2021.11.23,0,0,0,0,0,0,0,0
2021.11.25,701,3,42,13,10,769,0,0
2021.11.26,489,2,14,11,16,532,0,0
2021.11.27,467,2,12,5,13,499,0,0
2021.11.28,959,2,21,9,14,"1,005",1,0
2021.11.29,489,1,18,2,14,524,0,0
2021.11.30,509,0,21,3,20,553,0,0
2021.12.1,0,0,0,0,0,0,0,0
2021.12.2,708,1,16,4,20,749,0,0
2021.12.3,382,0,5,4,13,404,0,0
2021.12.4,360,3,14,7,12,396,0,0
2021.12.5,897,3,20,12,26,958,2,0
2021.12.6,230,2,11,3,17,263,0,0
2021.12.7,410,2,22,2,10,446,1,0
2021.12.8,490,2,31,1,9,533,0,0
2021.12.9,420,0,8,4,9,441,0,0
2021.12.10,436,1,7,6,15,465,0,0
2021.12.11,318,0,16,6,9,349,1,0
2021.12.12,727,2,15,5,14,763,0,0
2021.12.13,350,2,5,3,12,372,1,0
2021.12.14,0,0,0,0,0,0,0,0
2021.12.15,406,0,17,3,9,435,1,0
2021.12.16,459,0,14,9,24,506,1,0
2021.12.17,0,0,0,0,0,0,0,0
2021.12.18,572,0,15,8,15,610,0,0
2021.12.19,315,0,16,2,10,343,0,0
2021.12.20,173,2,15,8,4,202,0,0
