출항일,대인,중고,경로,소아,편승,합계,유아,임시
2021.9.30,249,5,21,12,8,295,0,0
2021.10.1,625,10,15,35,33,718,1,0
2021.10.2,150,1,16,14,20,201,1,0
2021.10.3,158,1,4,2,16,181,0,0
2021.10.4,382,1,30,8,18,439,1,0
2021.10.5,470,0,47,1,21,539,0,0
2021.10.6,319,1,11,6,17,354,0,0
2021.10.7,316,0,21,9,24,370,2,0
2021.10.8,864,10,44,38,17,973,2,0
2021.10.9,276,10,16,7,17,326,0,0
2021.10.10,398,1,33,30,19,481,1,0
2021.10.11,598,4,20,17,16,655,0,0
2021.10.12,478,1,56,10,26,571,0,0
2021.10.13,271,1,36,2,18,328,1,0
2021.10.14,309,2,22,4,17,354,0,0
2021.10.15,771,4,48,16,12,851,1,0
2021.10.16,270,2,23,5,22,322,0,0
2021.10.17,380,3,30,6,12,431,0,0
2021.10.18,370,2,58,11,19,460,0,0
2021.10.19,0,0,0,0,0,0,0,0
2021.10.20,552,2,70,8,14,646,1,0
2021.10.21,747,0,63,18,16,844,1,0
2021.10.22,806,5,24,18,15,868,0,0
2021.10.23,315,4,15,5,80,419,1,0
2021.10.24,443,8,47,16,19,533,3,0
2021.10.25,454,0,40,8,19,521,0,0
2021.10.26,434,1,20,1,52,508,0,0
2021.10.27,400,3,36,4,36,479,0,0
2021.10.28,517,1,47,6,10,581,0,0
2021.10.29,804,5,59,14,15,897,1,0
2021.10.30,255,4,33,8,12,312,0,0
2021.10.31,396,1,27,12,11,447,1,0
2021.11.1,492,1,52,8,13,566,0,0
2021.11.2,401,2,32,9,20,464,1,0
2021.11.3,355,1,27,8,9,400,0,0
2021.11.4,638,10,44,13,12,717,0,0
2021.11.5,984,7,51,13,35,"1,090",2,0
2021.11.6,265,7,32,13,13,330,0,0
2021.11.7,576,2,22,10,13,623,0,0
2021.11.8,0,0,0,0,0,0,0,0
2021.11.9,594,1,26,3,10,634,1,0
2021.11.10,0,0,0,0,0,0,0,0
2021.11.11,936,6,53,13,14,"1,022",0,0
2021.11.12,"1,100",3,39,17,22,"1,181",1,0
2021.11.13,347,6,18,17,9,397,1,0
2021.11.14,624,36,38,10,14,722,1,0
2021.11.15,-1,0,0,0,0,-1,0,0
2021.11.16,641,2,52,8,12,715,0,0
2021.11.17,368,0,25,8,14,415,1,0
2021.11.18,445,0,31,8,14,498,2,0
2021.11.19,628,3,19,14,0,664,0,0
2021.11.20,970,6,22,13,20,"1,031",0,0
2021.11.21,864,3,32,21,25,945,0,0
2021.11.23,0,0,0,0,0,0,0,0
2021.11.24,0,0,0,0,0,0,0,0
2021.11.25,692,4,36,12,11,755,0,0
2021.11.26,654,1,40,6,15,716,0,0
2021.11.27,"1,128",3,28,13,13,"1,185",1,0
2021.11.28,262,1,16,7,14,300,1,0
2021.11.29,582,3,15,14,14,628,1,0
2021.11.30,668,26,27,10,12,743,2,0
2021.12.1,0,0,0,0,0,0,0,0
2021.12.2,347,1,12,4,13,377,1,0
2021.12.3,742,5,14,9,17,787,4,0
2021.12.4,658,1,20,7,19,705,0,0
2021.12.5,285,0,9,6,21,321,1,0
2021.12.6,499,4,12,4,11,530,0,0
2021.12.7,451,0,17,4,10,482,0,0
2021.12.8,400,1,17,0,8,426,0,0
2021.12.9,415,0,16,7,13,451,1,0
2021.12.10,436,0,14,6,14,470,0,0
2021.12.11,483,0,23,4,9,519,0,0
2021.12.12,312,10,9,3,11,345,0,0
2021.12.13,407,2,9,1,11,430,0,0
2021.12.14,0,0,0,0,0,0,0,0
2021.12.15,500,1,14,10,19,544,0,0
2021.12.16,421,1,14,5,14,455,2,0
2021.12.17,361,0,8,1,15,385,1,0
2021.12.18,0,0,0,0,0,0,0,0
2021.12.19,230,4,10,9,10,263,0,0
2021.12.20,382,4,10,6,11,413,2,0
2021.12.21,373,0,17,4,9,403,1,0
2021.12.22,226,0,11,7,10,254,1,0
2021.12.23,213,2,13,4,12,244,0,0
2021.12.24,242,4,18,12,9,285,2,0
2021.12.25,0,0,0,0,0,0,0,0
2021.12.26,0,0,0,0,0,0,0,0
2021.12.27,246,10,12,5,12,285,1,0
2021.12.28,353,7,9,8,8,385,0,0
2021.12.29,249,8,20,9,7,293,0,0
2021.12.30,301,5,11,9,12,338,0,0
2021.12.31,0,0,0,0,0,0,0,0
2022.1.1,"1,066",6,12,26,12,"1,122",2,0
2022.1.2,154,2,7,11,26,200,0,0
2022.1.3,271,2,10,11,16,310,2,0
2022.1.4,281,4,13,6,10,314,0,0
2022.1.5,167,1,11,6,10,195,0,0
2022.1.6,282,6,9,8,10,315,2,0
2022.1.7,300,2,10,12,33,357,0,0
2022.1.8,451,5,24,15,55,550,1,0
2022.1.9,232,9,19,4,9,273,0,0
2022.1.10,400,3,12,14,8,437,1,0
2022.1.11,0,0,0,0,0,0,0,0
2022.1.12,0,0,0,0,0,0,0,0
2022.1.13,400,6,18,11,11,446,1,0
2022.1.14,0,0,0,0,0,0,0,0
2022.1.15,565,13,21,28,12,639,0,0
2022.1.16,248,9,21,17,10,305,1,0
2022.1.17,356,2,10,5,11,384,0,0
2022.1.18,299,9,20,8,9,345,0,0
2022.1.19,249,7,15,13,10,294,1,0
2022.1.20,0,0,0,0,0,0,0,0
2022.1.21,419,7,15,7,11,459,1,0
2022.1.22,501,10,21,20,44,596,0,0
2022.1.23,221,10,15,10,19,275,1,0
2022.1.24,254,3,8,3,16,284,0,0
2022.1.25,260,5,8,2,29,304,0,0
2022.1.26,225,6,8,3,10,252,1,0
2022.1.27,190,3,13,5,13,224,1,0
2022.1.28,237,2,9,15,11,274,2,0
2022.1.29,654,24,22,37,16,753,2,0
2022.1.30,584,14,12,12,26,648,2,0
2022.1.31,274,11,6,6,14,311,0,0
2022.2.1,164,3,3,6,15,191,0,0
2022.2.2,297,3,4,14,21,339,0,0
2022.2.3,546,7,16,24,13,606,0,0
2022.2.4,0,0,0,0,0,0,0,0
2022.2.5,506,5,36,18,13,578,0,0
2022.2.6,275,3,19,9,13,319,0,0
2022.2.7,528,3,21,6,18,576,1,0
2022.2.8,411,4,23,7,13,458,1,0
2022.2.9,245,2,27,8,15,297,0,0
2022.2.10,321,1,20,10,23,375,1,0
2022.2.11,494,3,16,0,17,530,0,0
2022.2.12,481,2,7,5,20,515,2,0
2022.2.13,177,3,8,7,15,210,2,0
2022.2.14,347,10,12,12,15,396,1,0
2022.2.15,345,4,11,13,13,386,0,0
2022.2.16,0,0,0,0,0,0,0,0
2022.2.17,0,0,0,0,0,0,0,0
2022.2.18,0,0,0,0,0,0,0,0
2022.2.19,709,4,23,23,40,799,4,0
2022.2.20,0,0,0,0,0,0,0,0
2022.2.21,346,8,6,7,1,368,0,0
2022.2.22,328,1,15,4,19,367,0,0
2022.2.23,260,10,11,12,12,305,0,0
2022.2.24,394,7,25,19,15,460,1,0
2022.2.25,362,3,28,9,12,414,0,0
2022.2.26,833,12,37,19,25,926,0,0
2022.2.27,403,2,23,8,14,450,1,0
2022.2.28,458,10,12,16,13,509,0,0
2022.3.1,432,3,18,23,16,492,3,0
2022.3.2,336,3,4,2,30,375,0,0
2022.3.3,271,1,21,3,21,317,1,0
2022.3.4,275,0,19,7,18,319,1,0
2022.3.5,0,0,0,0,0,0,0,0
2022.3.6,0,0,0,0,0,0,0,0
2022.3.7,553,1,25,8,18,605,0,0
2022.3.8,0,0,0,0,0,0,0,0
2022.3.9,0,0,0,0,0,0,0,0
2022.3.10,353,1,19,3,26,402,0,0
2022.3.11,0,0,0,0,0,0,0,0
2022.3.12,471,7,14,6,47,545,1,0
2022.3.13,0,0,0,0,0,0,0,0
2022.3.25,"1,097",6,66,9,59,"1,237",0,0
2022.3.27,2,0,0,0,0,2,0,0
2022.3.28,680,5,29,9,21,744,0,0
2022.3.29,680,0,37,9,25,751,1,0
2022.3.30,287,0,19,4,16,326,0,0
2022.3.31,860,2,41,6,28,937,3,0
2022.4.1,766,4,44,13,17,844,0,0
2022.4.2,193,1,22,0,14,230,0,0
2022.4.3,396,0,16,13,57,482,1,0
2022.4.4,418,1,28,5,11,463,0,0
2022.4.5,501,1,12,6,25,545,0,0
2022.4.6,390,2,37,4,10,443,1,0
2022.4.7,592,0,51,11,32,686,1,0
2022.4.8,872,18,115,14,18,"1,037",0,0
2022.4.9,238,0,12,10,13,273,0,0
2022.4.10,498,3,26,8,17,552,1,0
2022.4.11,607,1,36,5,20,669,0,0
2022.4.12,304,3,20,3,14,344,0,0
2022.4.13,705,1,21,4,33,764,2,0
2022.4.14,818,3,118,11,23,973,1,0
2022.4.15,970,4,114,15,35,"1,138",0,0
2022.4.16,640,4,28,13,16,701,0,0
2022.4.17,642,0,48,18,22,730,0,0
2022.4.18,699,3,35,5,19,761,0,0
2022.4.19,472,0,32,3,10,517,0,0
2022.4.20,503,1,26,0,20,550,0,0
2022.4.21,686,1,113,15,22,837,1,0
2022.4.22,"1,058",1,86,7,43,"1,195",0,0
2022.4.23,637,3,20,18,16,694,0,0
2022.4.24,863,5,45,14,7,934,0,0
2022.4.25,928,1,106,17,14,"1,066",0,0
2022.4.26,855,0,41,8,19,923,1,0
2022.4.27,638,1,46,3,24,712,1,0
2022.4.28,821,1,123,7,34,986,1,0
2022.4.29,952,4,120,20,34,"1,130",0,0
2022.4.30,839,4,35,28,15,921,1,0
2022.5.1,717,3,36,21,14,791,0,0
2022.5.2,610,17,19,9,26,681,0,0
2022.5.3,489,9,35,26,15,574,1,0
2022.5.4,978,6,60,57,24,"1,125",0,0
2022.5.5,769,12,74,68,30,953,0,0
2022.5.6,637,7,94,35,29,802,0,0
2022.5.7,480,16,22,34,11,563,0,0
2022.5.8,943,9,66,26,29,"1,073",1,0
2022.5.9,"1,072",4,45,11,14,"1,146",1,0
2022.5.10,911,1,64,6,27,"1,009",0,0
2022.5.11,808,3,41,17,14,883,0,0
2022.5.12,764,3,154,12,25,958,0,0
2022.5.13,968,2,116,10,23,"1,119",0,0
2022.5.14,991,3,81,28,18,"1,121",0,0
2022.5.15,"1,076",7,58,7,48,"1,196",0,0
2022.5.16,"1,113",1,51,20,14,"1,199",1,0
2022.5.17,"1,052",5,45,22,17,"1,141",0,0
2022.5.18,828,6,55,15,17,921,1,0
2022.5.19,842,4,105,21,29,"1,001",0,0
2022.5.20,911,2,95,9,35,"1,052",0,0
2022.5.21,977,6,44,27,25,"1,079",0,0
2022.5.22,983,1,82,7,21,"1,094",0,0
2022.5.23,"1,071",3,53,12,17,"1,156",1,0
2022.5.24,924,4,95,73,23,"1,119",0,0
2022.5.25,760,1,52,8,18,839,0,0
2022.5.26,779,0,121,19,31,950,2,0
2022.5.27,"1,012",9,94,17,38,"1,170",0,0
2022.5.28,"1,096",7,35,22,13,"1,173",0,0
2022.5.29,"1,092",2,35,8,15,"1,152",1,0
2022.5.30,677,0,39,8,24,748,2,0
2022.5.31,948,13,38,63,16,"1,078",1,0
2022.6.1,668,10,85,42,20,825,1,0
2022.6.2,668,3,37,12,22,742,0,0
2022.6.3,931,2,134,40,32,"1,139",1,0
2022.6.4,709,6,80,25,23,843,1,0
2022.6.5,0,0,0,0,0,0,0,0
2022.6.6,0,0,0,0,0,0,0,0
2022.6.7,"1,136",6,35,19,4,"1,200",1,0
2022.6.8,"1,028",3,37,29,14,"1,111",0,0
2022.6.9,781,11,106,14,16,928,1,0
2022.6.10,941,1,76,13,26,"1,057",0,0
2022.6.11,939,7,48,13,10,"1,017",0,0
2022.6.12,938,5,31,22,12,"1,008",0,0
2022.6.13,958,0,40,11,12,"1,021",0,0
2022.6.14,823,7,91,15,14,950,1,0
2022.6.15,864,6,47,40,15,972,0,0
2022.6.16,753,0,100,5,33,891,2,0
2022.6.17,893,4,125,23,35,"1,080",0,0
2022.6.18,940,3,23,20,14,"1,000",1,0
2022.6.19,787,2,39,29,25,882,1,0
2022.6.20,940,1,51,15,13,"1,020",2,0
2022.6.21,848,3,27,9,11,898,0,0
2022.6.22,545,2,22,13,13,595,1,0
2022.6.23,0,0,0,0,0,0,0,0
2022.6.24,851,3,139,31,27,"1,051",0,0
2022.6.25,875,3,35,16,15,944,0,0
2022.6.26,786,4,45,15,12,862,0,0
2022.6.27,"1,015",2,29,15,13,"1,074",0,0
2022.6.28,0,0,0,0,0,0,0,0
2022.6.29,845,17,47,20,23,952,1,0
2022.6.30,824,1,81,20,19,945,0,0
2022.7.1,889,0,61,14,30,994,1,0
2022.7.2,609,4,14,26,18,671,1,0
2022.7.3,582,2,22,13,14,633,1,0
2022.7.4,799,2,31,6,13,851,1,0
2022.7.5,0,0,0,0,0,0,0,0
2022.7.6,830,5,27,12,19,893,2,0
2022.7.7,732,2,18,15,20,787,1,0
2022.7.8,918,7,42,18,26,"1,011",1,0
2022.7.9,377,6,14,5,29,431,1,0
2022.7.10,498,11,34,20,13,576,0,0
2022.7.11,604,2,17,12,14,649,2,0
2022.7.13,902,8,50,45,17,"1,022",1,0
2022.7.14,686,13,13,25,16,753,0,0
2022.7.15,792,11,37,17,15,872,0,0
2022.7.16,407,18,23,18,12,478,0,0
2022.7.17,610,2,37,13,18,680,0,0
2022.7.18,699,14,24,34,12,783,0,0
2022.7.19,0,0,0,0,0,0,0,0
2022.7.20,995,23,24,43,14,"1,099",1,0
2022.7.21,821,37,19,50,20,947,0,0
2022.7.22,977,45,28,65,18,"1,133",0,0
