출항일,건수,중량
2021.10.2,2,"4,600"
2021.10.3,5,"8,550"
2021.10.4,10,"17,600"
2021.10.5,7,"12,250"
2021.10.6,8,"14,300"
2021.10.7,4,"6,700"
2021.10.8,4,"8,300"
2021.10.9,12,"20,200"
2021.10.10,10,"20,500"
2021.10.11,12,"20,300"
2021.10.12,14,"24,900"
2021.10.13,4,"8,050"
2021.10.14,15,"26,200"
2021.10.15,17,"31,600"
2021.10.16,16,"32,050"
2021.10.17,5,"8,300"
2021.10.18,12,"23,050"
2021.10.19,9,"16,250"
2021.10.21,19,"36,900"
2021.10.22,17,"29,750"
2021.10.23,15,"26,050"
2021.10.24,10,"15,900"
2021.10.25,11,"19,600"
2021.10.26,20,"37,000"
2021.10.27,18,"32,050"
2021.10.28,22,"39,300"
2021.10.29,20,"36,650"
2021.10.30,17,"31,450"
2021.10.31,23,"41,500"
2021.11.1,18,"30,450"
2021.11.2,14,"24,900"
2021.11.3,7,"12,900"
2021.11.4,17,"31,700"
2021.11.5,26,"48,050"
2021.11.6,24,"43,950"
2021.11.7,23,"42,450"
2021.11.9,30,"57,500"
2021.11.10,7,"13,600"
2021.11.12,29,"50,550"
2021.11.13,22,"39,100"
2021.11.14,7,"13,700"
2021.11.15,19,"34,100"
2021.11.16,16,"28,700"
2021.11.17,19,"37,100"
2021.11.18,30,"54,550"
2021.11.19,20,"35,300"
2021.11.20,26,"46,000"
2021.11.21,13,"21,450"
2021.11.22,16,"28,250"
2021.11.25,32,"56,095"
2021.11.26,10,"17,150"
2021.11.27,18,"30,400"
2021.11.28,19,"33,750"
2021.11.29,16,"31,150"
2021.11.30,16,"30,400"
2021.12.2,22,"37,490"
2021.12.3,19,"36,550"
2021.12.4,14,"26,050"
2021.12.5,24,"46,100"
2021.12.6,13,"23,350"
2021.12.7,19,"33,150"
2021.12.8,22,"40,000"
2021.12.9,18,"30,550"
2021.12.10,31,"54,950"
2021.12.11,29,"55,200"
2021.12.12,19,"34,250"
2021.12.13,19,"34,700"
2021.12.15,29,"47,700"
2021.12.16,34,"60,000"
2021.12.18,27,"48,750"
2021.12.19,9,"16,950"
2021.12.20,13,"23,150"
2021.12.21,31,"53,700"
2021.12.22,31,"56,910"
2021.12.23,47,"82,300"
2021.12.24,40,"69,150"
2021.12.27,3,"5,300"
2021.12.28,14,"22,700"
2021.12.29,32,"55,700"
2021.12.31,37,"65,250"
2022.1.1,24,"39,550"
2022.1.2,26,"44,900"
2022.1.3,16,"27,550"
2022.1.4,13,"21,050"
2022.1.5,22,"45,170"
2022.1.6,25,"43,500"
2022.1.7,16,"28,250"
2022.1.8,23,"44,340"
2022.1.9,34,"65,230"
2022.1.10,24,"44,380"
2022.1.14,37,"61,330"
2022.1.15,24,"38,490"
2022.1.16,24,"42,680"
2022.1.17,14,"25,400"
2022.1.18,16,"28,930"
2022.1.19,20,"35,970"
2022.1.21,21,"38,600"
2022.1.22,14,"22,700"
2022.1.23,16,"28,370"
2022.1.24,17,"45,940"
2022.1.25,20,"34,440"
2022.1.26,24,"42,270"
2022.1.27,31,"57,750"
2022.1.28,31,"55,310"
2022.1.29,35,"60,000"
2022.1.30,31,"54,340"
2022.1.31,16,"27,770"
2022.2.1,20,"34,350"
2022.2.2,26,"48,490"
2022.2.3,24,"45,910"
2022.2.5,21,"40,160"
2022.2.6,7,"11,320"
2022.2.7,13,"24,690"
2022.2.8,11,"20,490"
2022.2.9,13,"30,510"
2022.2.10,11,"21,810"
2022.2.11,22,"44,810"
2022.2.12,12,"21,850"
2022.2.13,20,"39,540"
2022.2.14,18,"44,280"
2022.2.15,20,"36,190"
2022.2.19,65,"128,100"
2022.2.21,23,"44,570"
2022.2.22,18,"36,220"
2022.2.23,18,"29,790"
2022.2.24,16,"31,400"
2022.2.25,27,"49,110"
2022.2.26,25,"43,721"
2022.2.27,19,"40,300"
2022.2.28,14,"26,010"
2022.3.1,29,"62,440"
2022.3.2,19,"45,470"
2022.3.3,20,"38,590"
2022.3.4,24,"45,190"
2022.3.7,29,"63,480"
2022.3.11,47,"105,830"
2022.3.13,49,"104,840"
2022.3.25,25,"46,520"
2022.3.27,27,"72,310"
2022.3.28,17,"40,490"
2022.3.29,21,"57,130"
2022.3.30,29,"57,770"
2022.3.31,25,"48,050"
2022.4.1,20,"38,250"
2022.4.2,17,"38,910"
2022.4.3,23,"43,090"
2022.4.4,21,"59,730"
2022.4.5,33,"82,880"
2022.4.6,17,"35,130"
2022.4.7,18,"38,900"
2022.4.8,32,"74,780"
2022.4.9,33,"88,560"
2022.4.10,28,"53,860"
2022.4.11,30,"58,470"
2022.4.12,18,"43,020"
2022.4.13,28,"67,290"
2022.4.14,32,"73,930"
2022.4.15,29,"66,720"
2022.4.16,31,"70,450"
2022.4.17,17,"42,180"
2022.4.18,25,"50,780"
2022.4.19,34,"79,080"
2022.4.20,32,"70,540"
2022.4.21,39,"66,440"
2022.4.22,43,"78,960"
2022.4.23,29,"54,860"
2022.4.24,11,"20,190"
2022.4.25,26,"51,200"
2022.4.26,30,"58,620"
2022.4.27,38,"64,270"
2022.4.28,46,"87,380"
2022.4.29,45,"81,760"
2022.4.30,31,"66,430"
2022.5.1,21,"42,050"
2022.5.2,27,"53,330"
2022.5.3,42,"77,300"
2022.5.4,54,"108,120"
2022.5.5,43,"77,630"
2022.5.6,40,"79,620"
2022.5.7,28,"52,920"
2022.5.8,42,"83,160"
2022.5.9,59,"109,400"
2022.5.10,29,"53,960"
2022.5.11,43,"78,380"
2022.5.12,43,"87,480"
2022.5.13,56,"105,810"
2022.5.14,31,"72,650"
2022.5.15,16,"33,800"
2022.5.16,41,"78,040"
2022.5.17,33,"61,820"
2022.5.18,29,"63,920"
2022.5.19,50,"107,860"
2022.5.20,45,"94,900"
2022.5.21,34,"64,050"
2022.5.22,30,"53,010"
2022.5.23,31,"57,920"
2022.5.24,34,"60,220"
2022.5.25,40,"76,870"
2022.5.26,59,"114,060"
2022.5.27,60,"115,550"
2022.5.28,29,"62,340"
2022.5.29,19,"36,290"
2022.5.30,50,"97,900"
2022.5.31,32,"62,320"
2022.6.1,66,"126,260"
2022.6.2,38,"72,790"
2022.6.3,68,"125,920"
2022.6.4,81,"168,225"
2022.6.5,58,"119,900"
2022.6.8,45,"93,545"
2022.6.9,71,"141,950"
2022.6.10,24,"43,420"
2022.6.11,56,"111,860"
2022.6.12,13,"27,060"
2022.6.13,56,"108,030"
2022.6.14,40,"93,000"
2022.6.15,30,"53,770"
2022.6.16,44,"100,140"
2022.6.17,48,"102,710"
2022.6.18,43,"84,590"
2022.6.19,26,"57,400"
2022.6.20,50,"89,510"
2022.6.21,32,"67,960"
2022.6.22,47,"99,140"
2022.6.23,56,"108,620"
2022.6.25,60,"116,050"
2022.6.26,20,"37,510"
2022.6.27,34,"61,390"
2022.6.28,42,"81,720"
2022.6.30,72,"181,270"
2022.7.1,48,"97,810"
2022.7.2,39,"73,815"
2022.7.3,44,"82,110"
2022.7.4,52,"103,270"
2022.7.5,32,"60,340"
2022.7.7,44,"92,810"
2022.7.8,47,"92,790"
2022.7.9,30,"56,140"
2022.7.10,30,"53,570"
2022.7.11,45,"74,130"
2022.7.12,32,"61,070"
2022.7.14,43,"78,860"
2022.7.15,42,"89,440"
2022.7.16,47,"94,030"
2022.7.17,42,"85,660"
2022.7.18,34,"66,370"
2022.7.19,42,"75,810"
2022.7.21,81,"147,800"
2022.7.22,39,"74,570"
2022.7.23,64,"125,360"
2022.7.24,62,"121,165"
2022.7.25,76,"141,120"
2022.7.26,66,"116,140"
2022.7.27,72,"134,480"
2022.7.28,84,"146,680"
2022.7.29,85,"161,050"
2022.7.30,81,"148,760"
2022.7.31,87,"184,610"
2022.8.1,79,"151,280"
2022.8.2,96,"197,720"
2022.8.3,90,"159,320"
2022.8.4,85,"149,350"
2022.8.5,94,"171,920"
2022.8.6,94,"171,620"
2022.8.7,95,"190,170"
2022.8.8,65,"123,910"
2022.8.9,83,"150,590"
2022.8.10,66,"116,810"
2022.8.11,81,"147,920"
2022.8.12,83,"146,815"
2022.8.13,94,"166,100"
2022.8.14,76,"144,530"
2022.8.15,62,"118,980"
2022.8.16,71,"123,280"
