출항일,건수,중량
2021.9.30,5,"9,900"
2021.10.1,6,"9,700"
2021.10.2,5,"9,450"
2021.10.3,4,"6,900"
2021.10.4,7,"10,500"
2021.10.5,4,"6,800"
2021.10.6,7,"13,150"
2021.10.7,9,"14,900"
2021.10.8,13,"21,350"
2021.10.9,5,"9,800"
2021.10.10,14,"24,700"
2021.10.11,16,"27,000"
2021.10.12,13,"22,950"
2021.10.13,15,"27,550"
2021.10.14,6,"12,450"
2021.10.15,11,"19,950"
2021.10.17,17,"30,700"
2021.10.18,15,"27,800"
2021.10.20,26,"49,600"
2021.10.21,9,"15,800"
2021.10.22,14,"25,700"
2021.10.23,22,"38,500"
2021.10.24,11,"17,550"
2021.10.25,19,"33,650"
2021.10.26,21,"35,850"
2021.10.27,12,"21,750"
2021.10.28,13,"22,350"
2021.10.29,23,"38,300"
2021.10.30,11,"19,350"
2021.10.31,18,"34,100"
2021.11.1,19,"33,750"
2021.11.2,19,"32,350"
2021.11.3,13,"24,700"
2021.11.4,12,"22,250"
2021.11.5,14,"25,900"
2021.11.6,13,"23,500"
2021.11.7,21,"37,950"
2021.11.9,23,"42,450"
2021.11.11,25,"44,650"
2021.11.12,12,"20,150"
2021.11.13,10,"19,700"
2021.11.14,24,"40,150"
2021.11.16,21,"38,050"
2021.11.17,20,"36,350"
2021.11.18,20,"36,650"
2021.11.19,12,"22,570"
2021.11.20,5,"10,680"
2021.11.21,24,"45,750"
2021.11.25,39,"71,000"
2021.11.26,12,"22,000"
2021.11.27,11,"19,700"
2021.11.28,11,"18,900"
2021.11.29,23,"40,200"
2021.11.30,17,"30,550"
2021.12.2,15,"32,120"
2021.12.3,21,"38,400"
2021.12.4,8,"16,000"
2021.12.5,13,"23,150"
2021.12.6,16,"27,000"
2021.12.7,18,"31,700"
2021.12.8,10,"20,500"
2021.12.9,17,"30,400"
2021.12.10,16,"28,650"
2021.12.11,15,"27,900"
2021.12.12,13,"22,150"
2021.12.13,12,"20,050"
2021.12.15,43,"83,600"
2021.12.16,37,"66,680"
2021.12.17,18,"33,240"
2021.12.19,13,"24,820"
2021.12.20,18,"32,200"
2021.12.21,29,"55,050"
2021.12.22,26,"50,200"
2021.12.23,12,"23,250"
2021.12.24,12,"22,250"
2021.12.27,14,"25,350"
2021.12.28,23,"43,710"
2021.12.29,13,"23,850"
2021.12.30,24,"46,960"
2022.1.1,22,"37,340"
2022.1.2,9,"16,100"
2022.1.3,15,"27,450"
2022.1.4,17,"31,800"
2022.1.5,3,"5,300"
2022.1.6,23,"45,120"
2022.1.7,6,"12,110"
2022.1.8,24,"55,700"
2022.1.9,6,"10,270"
2022.1.10,19,"32,010"
2022.1.13,28,"51,580"
2022.1.15,27,"48,350"
2022.1.16,13,"26,310"
