발생일시,"사고
종별",사고장소
,,
2025-01-09 19:32,차량단독,경상북도 울릉군 울릉순환로 122-1  눈 작은못개길옆
2025-01-30 16:00,차량단독,경상북도 울릉군 울릉순환로 397-6  
2025-01-30 16:00,차량단독,경상북도 울릉군 울릉순환로 397-6  
2025-02-09 11:00,차대차,경북 울릉 서면 태하 0618-0001번지 태하리 618-1 소재 수층터널 앞 100미터 지
2025-02-09 11:00,차대차,경북 울릉 서면 태하 0618-0001번지 태하리 618-1 소재 수층터널 앞 100미터 지
2025-02-09 11:00,차대차,경북 울릉 서면 태하 0618-0001번지 태하리 618-1 소재 수층터널 앞 100미터 지
2025-03-15 14:18,차량단독,경상북도 울릉군 울릉순환로 398  교육청 관사 주차장
2025-03-27 07:30,차대차,경상북도 울릉군 평리길 6  마을입구 노상
2025-03-27 07:30,차대차,경상북도 울릉군 평리길 6  마을입구 노상
2025-03-26 06:00,차대차,경북 울릉 울릉 사동 0040-0007번지 
2025-03-26 06:00,차대차,경북 울릉 울릉 사동 0040-0007번지 
2025-03-31 13:35,차대차,경상북도 울릉군 울릉순환로 212-16  수협 마트 앞노상
2025-03-31 13:35,차대차,경상북도 울릉군 울릉순환로 212-16  수협 마트 앞노상
2025-04-04 17:04,,경북 울릉 울릉 저동 0160-0001번지 경사가 급한  오르막길
2025-04-04 17:04,,경북 울릉 울릉 저동 0160-0001번지 급경사 오르막길
2025-04-04 17:04,차량단독,경북 울릉 울릉 저동 0160-0001번지 급겸사 오르막길
2025-04-05 17:10,차대차,경상북도 울릉군 무릉길 281  
2025-04-05 17:10,차대차,경상북도 울릉군 무릉길 281  
2025-04-05 17:40,차량단독,경상북도 울릉군 울릉읍 무릉길 281 대아리조트 입구 노상
2025-04-07 09:00,차량단독,경상북도 울릉군 울릉순환로 240  피해자 주거지 앞 시멘트 마당
2025-04-11 09:06,차량단독,경상북도 울릉군 저동길 71-50  주택가
2025-04-12 21:02,차량단독,경상북도 울릉군 봉래2길 38  사고장소 일대 주차된 차량 많음
2025-04-12 21:02,차량단독,경상북도 울릉군 봉래2길 38  사고장소 일대 주차된 차량 많음
2025-04-15 13:30,,경북 울릉 북면 현포 산0033-0003번지 현포항 입구 일주도로(평리에서 현포방면)
2025-04-15 13:30,,경북 울릉 북면 현포 산0033-0003번지 현포항 입구 일주도로(평리에서 현포방면)
2025-04-12 21:02,,경상북도 울릉군 봉래2길 38  차량 빈번
2025-04-12 21:02,,경상북도 울릉군 봉래2길 38  차량 빈번
2025-04-15 13:30,차대차,경북 울릉 북면 현포 산0033-0000번지 현포항 입구 해안일주도로(현포터널 옆)
2025-04-15 13:30,차대차,경북 울릉 북면 현포 산0033-0000번지 현포항 입구 해안일주도로(현포터널 옆)
2025-04-15 13:30,차대차,경북 울릉 북면 현포 산0033-0000번지 현포항 입구 해안일주도로(현포터널 옆)
2025-04-17 08:55,차대차,경북 울릉 서면 태하 산0232-0000번지 삼막터널 방향 단차로 수층터널 방향 2차로
2025-04-17 08:55,차대차,경북 울릉 서면 태하 산0232-0000번지 삼막터널 방향 단차로 수층터널 방향 2차로
2025-04-18 14:01,차대차,경상북도 울릉군 봉래3길 3  학교앞 삼거리
2025-04-18 14:01,차대차,경상북도 울릉군 봉래3길 3  학교앞 삼거리
2025-04-19 13:10,차량단독,경북 울릉 서면 남서 산0162-0001번지 주차장
2025-05-04 09:47,차대차,경상북도 울릉군 울릉순환로 352  오르막길 급커브구간
2025-05-04 09:47,차대차,경상북도 울릉군 울릉순환로 352  오르막길 급커브구간
2025-05-04 09:47,차대차,경상북도 울릉군 울릉순환로 352  오르막길 급커브구간
2025-05-04 12:00,차대차,경상북도 울릉군 봉래1길 19-38  차량통행빈번
2025-05-04 12:00,차대차,경상북도 울릉군 봉래1길 19-38  차량통행빈번
2025-05-06 19:00,차대차,경상북도 울릉군 봉래1길 14  없음
2025-05-06 19:00,차대차,경상북도 울릉군 봉래1길 14  없음
2025-05-09 17:35,차대차,경상북도 울릉군 봉래1길 19-62  공중화장실 앞노상
2025-05-09 17:35,차대차,경상북도 울릉군 봉래1길 19-62  공중화장실 앞노상
2025-05-12 10:10,차량단독,경상북도 울릉군 도동길 222  
2025-05-12 10:10,차량단독,경상북도 울릉군 도동길 222  
2025-05-21 11:15,차량단독,경상북도 울릉군 도동길 14  주차장
2025-05-21 11:15,차량단독,경상북도 울릉군 도동길 14  주차장
2025-05-22 08:35,차대차,경상북도 울릉군 약수터길 23  좁은 오른막길
2025-05-22 08:35,차대차,경상북도 울릉군 약수터길 23  좁은 오른막길
2025-05-22 16:26,차대차,경상북도 울릉군 도동2길 23  공영주차장 2층
2025-05-22 16:26,차대차,경상북도 울릉군 도동2길 23  공영주차장 2층
2025-05-25 12:00,차대차,경상북도 울릉군 남양4길 4  노상
2025-05-25 12:00,차대차,경상북도 울릉군 남양4길 4  노상
2025-05-29 12:20,차대사람,경상북도 울릉군 도동길 93-1  노상
2025-05-29 12:20,차대사람,경상북도 울릉군 도동길 93-1  노상
2025-05-25 16:00,차량단독,경상북도 울릉군 약수터길 28  노상 주차장
2025-05-25 16:00,차량단독,경상북도 울릉군 약수터길 28  노상 주차장
2025-06-09 13:35,차량단독,경상북도 울릉군 울릉순환로 1065-8  터널 끝나는 지점
2025-06-05 22:00,차량단독,경북 울릉 북면 천부 산 456-   5번지천부오션빌리지펜션 진입 전 천부오션빌리지펜션 진입 전 외길
2025-06-13 20:42,차량단독,경상북도 울릉군 울릉순환로 219-3  노상
2025-06-13 20:42,차량단독,경상북도 울릉군 울릉순환로 219-3  노상
2025-06-16 07:18,차대차,경상북도 울릉군 서면 남서길 남서리 186-2 수층터널 내부 수층터널 내부(태하에서 구암방면)
