충전소명,충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자
울릉군청,울릉군청,경상북도,연중무휴,0:00,24:00:00,N,Y,AC3상+DC차데모+DC콤보,0,1,N,경상북도 울릉군 울릉읍 도동2길 66,경상북도 울릉군 울릉읍 도동리 206-1,울릉군청,054-790-6258,37.48433222,130.9056438,2020.7.13
도동공영주차장,도동공영주차장,경상북도,연중무휴,0:00,24:00:00,N,Y,AC4상+DC차데모+DC콤보,0,1,N,경상북도 울릉군 울릉읍 도동2길 96,경상북도 울릉군 울릉읍 도동리 253,울릉군 전기차 서비스 주민협동조합,054-791-2700,37.484913,130.9041359,2020.7.13
울릉한마음회관,울릉한마음회관,경상북도,연중무휴,0:00,24:00:00,N,Y,AC5상+DC차데모+DC콤보,0,6,N,경상북도 울릉군 울릉읍 울릉순환로 286,경상북도 울릉군 울릉읍 도동리 408,울릉군 전기차 서비스 주민협동조합,054-791-2700,37.4905756,130.9044054,2020.7.13
저동제2공용주차장,저동제2공용주차장,경상북도,연중무휴,0:00,24:00:00,N,Y,AC6상+DC차데모+DC콤보,0,2,N,,경상북도 울릉군 울릉읍 도동리 373-25,울릉군 전기차 서비스 주민협동조합,054-791-2700,37.4939297,130.9057963,2020.7.13
울릉군 블루핸즈 울릉서비스,울릉군 블루핸즈 울릉서비스,경상북도,연중무휴,0:00,24:00:00,N,Y,AC7상+DC차데모+DC콤보,0,1,N,경상북도 울릉군 울릉읍 무릉길 205,경상북도 울릉군 울릉읍 사동리 70-20,울릉군 전기차 서비스 주민협동조합,054-791-2700,37.48118113,130.8969147,2020.7.13
울릉군 서면사무소,울릉군 서면사무소,경상북도,연중무휴,0:00,24:00:00,N,Y,DC차데모,0,1,N,경상북도 울릉군 서면 남양4길 31,경상북도 울릉군 서면 남양리 659-2,울릉군 서면사무소,054-790-6717,37.46759287,130.8379681,2020.7.13
우산국박물관 주차장,우산국박물관 주차장,경상북도,연중무휴,0:00,24:00:00,N,Y,AC9상+DC차데모+DC콤보,0,2,N,,경상북도 울릉군 서면 남서리 60-1,울릉군 전기차 서비스 주민협동조합,054-791-2700,37.469755,130.833895,2020.7.13
태하공설운동장 주차장,태하공설운동장 주차장,경상북도,연중무휴,0:00,24:00:00,N,Y,AC10상+DC차데모+DC콤보,0,4,N,경상북도 울릉군 서면 울릉순환로 2146-56,경상북도 울릉군 서면 태하리 230,울릉군 전기차 서비스 주민협동조합,054-791-2700,37.51101144,130.8138415,2020.7.13
울릉산채영농조합,울릉산채영농조합,경상북도,연중무휴,0:00,24:00:00,N,Y,AC11상+DC차데모+DC콤보,0,2,N,경상북도 울릉군 북면 울릉순환로 2411,경상북도 울릉군 북면 현포리 766-1,울릉군 전기차 서비스 주민협동조합,054-791-2700,37.51883709,130.8142177,2020.7.13
울릉국민체육센터,울릉국민체육센터,경상북도,연중무휴,0:00,24:00:00,N,Y,AC12상+DC차데모+DC콤보,0,2,N,경상북도 울릉군 북면 천부길 88,경상북도 울릉군 북면 천부리 708,울릉군 전기차 서비스 주민협동조합,054-791-2700,37.53786183,130.8711585,2020.7.13
울릉군 북면사무소,울릉군 북면사무소,경상북도,연중무휴,0:00,24:00:00,N,Y,DC차데모,0,1,N,경상북도 울릉군 북면 천부2길 15,경상북도 울릉군 북면 천부리 529-8,울릉군 북면사무소,054-790-6733,37.5407503,130.874598,2020.7.13
나리분지 어린이놀이터,나리분지 어린이놀이터,경상북도,연중무휴,0:00,24:00:00,N,Y,AC14상+DC차데모+DC콤보,0,3,N,경상북도 울릉군 북면 나리길 598,경상북도 울릉군 북면 나리 89-1,울릉군 전기차 서비스 주민협동조합,054-791-2700,37.52084205,130.868336,2020.7.13
